source,target
"urgency, burning urination, lower abdominal pain, frequent urination",urinary_tract_infection
vomiting,gastroenteritis
"trembling, fever and sweating",anxiety
"cough, fever, chills, body ache, sore throat, fatigue",influenza
"Patient reports trembling, restlessness, dizziness, blurred vision, sweating for 2 days",anxiety
"severe productive cough, chest pain, shortness of breath and fever",pneumonia
I have left arm pain,heart_disease
loss of height,osteoporosis
"itchy skin, blisters, red patches and dry skin",eczema
"nosebleed, dizziness, blurred vision, nasal congestion",hypertension
"mild nausea, fever, diarrhea, vomiting, stomach cramps",gastroenteritis
bone pain,osteoporosis
"runny nose, itchy eyes, nasal congestion, sneezing for several months",allergic_rhinitis
"right lower abdominal pain, mucus, nausea, fever, loss of appetite for several months",appendicitis
"sneezing, sore throat, mild cough, runny nose",common_cold
"ear pain, ear drainage and fever",otitis_media
fatigue,allergic_rhinitis
moderate productive cough,pneumonia
"hearing difficulty, fever for a week",otitis_media
"loss of taste, loss of smell, fever, dry cough",covid-19
"severe headache, cough, nausea ",migraine
"hearing difficulty, ear drainage, fever and ear pain",otitis_media
"I have increased thirst, fatigue, frequent urination, weight loss",diabetes
persistent cough since yesterday,bronchitis
"nausea, severe headache, visual aura and sensitivity to light",migraine
"shortness of breath, chest tightness, wheezing",asthma
"dry cough, loss of taste, fatigue, loss of smell",covid-19
Complains of chest tightness since yesterday,asthma
"moderate loss of height, fractures, bone pain",osteoporosis
"itchy skin, dry skin, blisters, red patches",eczema
"loss of smell, dry cough",covid-19
runny nose,allergic_rhinitis
"ear pain, hearing difficulty, ear drainage, fever",otitis_media
red patches,eczema
chest pain and fever,pneumonia
"persistent sadness, sleep disturbance and loss of interest",depression
sore throat,otitis_media
"right lower abdominal pain, loss of appetite, nausea, fever",appendicitis
"shortness of breath, wheezing, night cough, chest tightness",asthma
"chest tightness, wheezing, shortness of breath and sweating",asthma
"blisters, left arm pain",eczema
"sneezing, runny nose, nasal congestion and itchy eyes for 2 days",allergic_rhinitis
"frequent urination, urgency, lower abdominal pain, burning urination",urinary_tract_infection
Complains of rapid heartbeat for a week,anxiety
"restlessness, nasal congestion, runny nose, rap",anxiety
sweating,heart_disease
"I have nausea, right lower abdominal pain, fever",appendicitis
"diarrhea, stomach cramps",gastroenteritis
"mild cough, nasal congestion",common_cold
"mild cough, fever, runny nose, nasal congestion",common_cold
"shortness of breath, left arm pain, sweat",heart_disease
"Complains of fever, loss of appetite",appendicitis
"sneezing, mild cough, runny nose",common_cold
"frequent urination, fatigue, increased thirst, blurred vision",diabetes
"Complains of vomiting, stomach cramps and diarrhea",gastroenteritis
"Complains of shortness of breath, productive cough",pneumonia
"weight loss, frequent urination, increased thirst and persistent sadness",diabetes
chest tightness,asthma
"chest pain, shortness of breath",otitis_media
chills,influenza
"sweating, restlessness for several months",anxiety
"fatigue, increased thirst, blurred vision, weight loss and frequent urination",diabetes
"wheezing, shortness of breath, chest tightness",asthma
loss of interest,depression
"nausea, right lower abdominal pain, fatigue",appendicitis
"shortness of breath, left arm pain",heart_disease
"frequent urination, weight loss, fatigue, blurred vision",diabetes
sneezing and itchy eyes,allergic_rhinitis
"mild fatigue, sensitivity to light",covid-19
Complains of trembling,otitis_media
"nasal congestion, severe headache and sneezing",common_cold
"body ache, burning urination, urgency, frequent urination, sore throat and lower abdominal pain",urinary_tract_infection
ear drainage,otitis_media
hearing difficulty since yesterday,otitis_media
sweating since yesterday,heart_disease
rapid heartbeat,anxiety
"dry skin, itchy skin and blisters",eczema
vomiting,gastroenteritis
"itchy eyes, fever, chills, nasal congestion and sneezing",allergic_rhinitis
dry cough for 2 days,covid-19
"severe weight loss, fatigue, fever, loss of taste, dry cough and loss of smell",covid-19
Complains of loss of taste,covid-19
"dry cough, persistent cough, chest discomfort, fatigue, loss of smell",covid-19
"fever, productive cough",pneumonia
"moderate night cough, shortness of breath",asthma
"mild fatigue, rapid heartbeat, increased thirst",diabetes
"Patient reports burning urination, frequent urination, lower abdominal pain",urinary_tract_infection
"fatigue, weight loss and frequent urination for a week",diabetes
"frequent urination, burning urination",urinary_tract_infection
"blisters, dry skin, itchy skin",eczema
"Patient reports mild shortness of breath, chest pain",pneumonia
"Complains of dizziness, headache fo",hypertension
"mild cough, sneezing, nasal congestion, runny nose, dry cough for a week",common_cold
"wheezing, chest tightness, night cough, shortness of breath",asthma
"fever, right lower abdominal pain, nausea, lower abdominal pain, loss of appetite",appendicitis
"severe loss of appetite, fever",appendicitis
Patient reports ear drainage,otitis_media
mild runny nose,allergic_rhinitis
"red patches, blisters, dry skin, itchy skin",eczema
"mild chest tightness, wheezing, shortness of breath, night cough",asthma
vomiting,gastroenteritis
"shortness of breath, fever, chest pain",pneumonia
chest pain,heart_disease
burning urination,urinary_tract_infection
"nasal congestion, itchy eyes and runny nose",allergic_rhinitis
"persistent sadness, fatigue, loss of interest since yesterday",depression
"hearing difficulty, ear pain",otitis_media
nasal congestion,common_cold
"Complains of body ache, loss of appetite, cough, fatigue",influenza
"nausea, severe headache",migraine
"severe headache, sensitivity to light, nausea",migraine
"chills, sore throat, body ache, fatigue, cough",influenza
"nasal congestion, runny nose, pale skin, sneezing, mild cough",common_cold
"shortness of breath, mucus",bronchitis
runny nose,common_cold
"fatigue, persistent sadness, sleep disturbance",depression
"nasal congestion, runny nose, sneezing",allergic_rhinitis
"Complains of vomiting, nausea, diarrhea, stomach cramps",gastroenteritis
"visual aura, fatigue, nausea, sensitivity to light, severe headache",migraine
"Complains of itchy eyes, runny nose",allergic_rhinitis
"nausea, visual aura for several months",asthma
"loss of taste, fatigue, fever, loss of smell, frequent urination, dry cough",covid-19
Complains of productive cough,pneumonia
hearing difficulty,otitis_media
"fever, cough and loss of taste",influenza
mild runny nose,allergic_rhinitis
shortness of breath and fatigue for a week,bronchitis
"Complains of ear drainage, fever, hearing difficulty, ear pain",otitis_media
chest discomfort,bronchitis
"diarrhea, nausea",gastroenteritis
nasal congestion,allergic_rhinitis
"nausea, stomach cramps",gastroenteritis
"moderate headache, dizziness, nosebleed, blurred vision",hypertension
"I have shortness of breath, weight loss",diabetes
"increased thirst, blurred vision, frequent urination, fatigue",diabetes
"productive cough, shortness of breath and chest pain",pneumonia
"vomiting, blisters and dry skin",eczema
"urgency, chest pain, lower abdominal pain, frequent urination",urinary_tract_infection
"dizziness, pale skin, fatigue, shortness of breath",anemia
"nausea, visual aura, sensitivity to light",migraine
"loss of taste, restlessness, rapid heartbeat, dry cough",covid-19
"severe sneezing, mild cough, nasal congestion, runny nose",common_cold
"hearing difficulty, ear pain, fever, ear drainage",otitis_media
"persistent cough, loss of smell, loss of taste",bronchitis
loss of appetite,appendicitis
"red patches, itchy skin, blisters, hearing difficulty, ear drainage",eczema
"sweating, persistent sadness",anxiety
"I have nausea, cough, stomach cramps, vomiting",gastroenteritis
night cough and chest tightness,asthma
nausea,appendicitis
"left arm pain, sweating, shortness of breath, chest pain",heart_disease
"fatigue, body ache, cough, fever, chills, sore throat",influenza
moderate dry cough and fever,covid-19
chest pain and left arm pain,appendicitis
itchy eyes,allergic_rhinitis
"loss of interest, fatigue",depression
"chest pain, ear pain, fever, shortness of breath, hearing difficulty, productive cough",pneumonia
"Complains of wheezing, night cough",asthma
"blurred vision, fatigue and increased thirst",diabetes
body ache and fever,influenza
loss of appetite,depression
"chest pain, shortness of breath and sweating",heart_disease
fever,appendicitis
Patient reports urgency,urinary_tract_infection
hearing difficulty,otitis_media
"fever, ear pain, hearing difficulty and ear drainage",otitis_media
"Patient reports shortness of breath, sweating, left arm pain, chest pain",heart_disease
Patient reports shortness of breath,asthma
headache and blurred vision,hypertension
"I have nasal congestion, sneezing",allergic_rhinitis
"chest pain, right lower abdominal pain, loss of appetite, nausea",appendicitis
"wheezing, shortness of breath and chest tightness",asthma
I have nausea and right lower abdominal pain,appendicitis
"sweating, rapid heartbeat, restlessness, trembling",anxiety
"ear pain, fever, hearing difficulty, ear drainage, shortness of breath",otitis_media
bone pain and fractures for 2 days,osteoporosis
right lower abdominal pain,appendicitis
sensitivity to light for a week,migraine
shortness of breath since yesterday,heart_disease
"mucus, chest discomfort since yesterday",bronchitis
back pain,osteoporosis
"dizziness, nosebleed",hypertension
stomach cramps,gastroenteritis
"persistent cough, mucus, chest discomfort, shortness of breath, fever, loss of taste for 2 days",bronchitis
"dry skin, red patches, itchy skin, blisters, back pain",eczema
"mild runny nose, sneezing",allergic_rhinitis
"dizziness, runny nose, fatigue, nasal congestion, pale skin, shortness of ",anemia
"lower abdominal pain, frequent urination, burning urination, urgency",urinary_tract_infection
"sensitivity to light, nausea, severe headache, visual aura",migraine
I have moderate nausea since yesterday,appendicitis
"mild cough, runny nose, nasal congestion",common_cold
"fatigue, loss of interest, persistent sadness, sleep",depression
"ear pain, ear drainage and hearing difficulty",otitis_media
"sore throat, dry cough, fatigue",covid-19
fatigue and shortness of breath,anemia
"body ache, chills, cough, fever, fatigue",influenza
"hearing difficulty, ear pain, ear drainage and fever for several months",otitis_media
shortness of breath,anemia
"sensitivity to light, visual aura, severe headache, nausea",migraine
"moderate burning urination, frequent urination, urgency",urinary_tract_infection
"mucus, persistent cough",bronchitis
"fever, ear drainage, hearing difficulty, ear pain for several months",otitis_media
pale skin for a week,anemia
"back pain, bone pain, loss of hei",osteoporosis
"sneezing, nasal congestion for several months",allergic_rhinitis
"fatigue, ear pain, persistent sadness, sleep disturbance, loss of interest",depression
"frequent urination, fatigue, increased thirst",diabetes
vomiting and stomach cramps,gastroenteritis
sleep disturbance and fatigue for 2 days,depression
stomach cramps,gastroenteritis
diarrhea and nausea,gastroenteritis
"shortness of breath, night cough, vomiting, chest tightness, diarrhea",asthma
right lower abdominal pain,appendicitis
"trembling, rapid heartbeat, sweating",anxiety
"productive cough, fever, shortness of breath and chest pain",pneumonia
"blisters, dry skin",eczema
dizziness,anemia
"persistent cough, nosebleed, dizziness, headache, blurred vision and mucus",hypertension
Patient reports itchy eyes,allergic_rhinitis
"right lower abdominal pain, loss of appetite, dizziness",appendicitis
"severe headache, sensitivity to light, visual aura",migraine
nasal congestion,allergic_rhinitis
"Patient reports moderate body ache, chills, cough, vomiting, sore throat since yesterday",influenza
"chest pain, left arm pain",heart_disease
"red patches, itchy skin, dry skin, blisters",eczema
"Complains of visual aura, nausea, sensitivity to light",migraine
"restlessness, sweating, rapid heartbeat, trembling",anxiety
"persistent sadness, sleep disturbance, stomach cramps",depression
"shortness of breath, left arm pain",heart_disease
"ear drainage, ear pain, fever, hearing",otitis_media
fever,otitis_media
"runny nose, nasal congestion, increased thirst and sneezing",allergic_rhinitis
"back pain, loss of height, fractures",osteoporosis
"moderate diarrhea, nausea, stomach cramps and vomiting for 2 days",gastroenteritis
"shortness of breath, mucus and persistent cough",bronchitis
"Complains of trembling, restlessness and rapid heartbeat",anxiety
"runny nose, sneezing and nasal congestion",common_cold
"sensitivity to light, nausea",migraine
"wheezing, severe headache, nausea",migraine
"Complains of urgency, lower abdominal pain",urinary_tract_infection
"productive cough, nosebleed",hypertension
"blurred vision, frequent urination",diabetes
"sneezing, runny nose and nasal congestion",common_cold
shortness of breath,heart_disease
fatigue since yesterday,diabetes
mild itchy eyes,allergic_rhinitis
"sweating, chest pain for 2 days",heart_disease
"Complains of nausea, right lower abdominal pain, fever",appendicitis
"Patient reports chest discomfort, persistent cough, mucus, shortness of breath",bronchitis
"loss of smell, loss of taste, dry cough, blurred vision and fatigue",covid-19
pale skin,anemia
"chest tightness, shortness of breath, dizziness, night cough, fatigue, wheezing",asthma
"runny nose, mild cough, sneezing, ",common_cold
"blisters, dry skin",eczema
fever,covid-19
"severe fatigue, sleep disturbance, loss of interest, right lower abdominal pain, persistent sadness and fever",depression
"runny nose, sneezing and nasal congestion",common_cold
stomach cramps for 2 days,gastroenteritis
"pale skin, shortness of breath, fatigue, dizziness",anemia
"nausea, dizziness, blurred vision, nosebleed and headache",hypertension
"Complains of severe fever, ear pain, hearing difficulty",otitis_media
"Complains of chest discomfort, mucus, persistent cough",bronchitis
"fever, dry cough, loss of smell",covid-19
"itchy eyes, sneezing, nasal congestion, pale skin",allergic_rhinitis
pale skin,anemia
"chest pain, shortness of breath, productive cough",pneumonia
"shortness of breath, sweating, left arm pain, back pain",heart_disease
"urgency, lower abdominal pain and frequent urination",urinary_tract_infection
"Complains of fractures, red patches, loss of height, itchy skin, blisters, dry skin",eczema
"shortness of breath, nausea, chest pain, productive cough and diarrhea",pneumonia
fever for a week,covid-19
"sneezing, fever",allergic_rhinitis
frequent urination,urinary_tract_infection
"persistent sadness, loss of interest",depression
"I have sensitivity to light, severe headache, nausea",migraine
"chest discomfort, persistent cough",bronchitis
dry skin,eczema
"right lower abdominal pain, nausea and loss of appetite for 2 days",appendicitis
"I have fatigue, dry cough, stomach cramps, nausea and vomiting",gastroenteritis
chest pain,pneumonia
"fractures, persistent sadness, back pain, fatigue, loss of height, bone pain",osteoporosis
"nosebleed, chest discomfort, shortness of breath for sev",bronchitis
fever and nausea for several months,appendicitis
"loss of smell, fever, fatigue, loss of taste",covid-19
"visual aura, loss of smell, severe ",migraine
"shortness of breath, sweating, chest pain, left arm pain for several months",heart_disease
"severe sweating, shortness of breath",heart_disease
"I have back pain, bone pain",osteoporosis
sneezing and mild cough,common_cold
"fatigue, shortness of breath, pale skin",anemia
"bone pain, back pain",osteoporosis
"mild headache, nosebleed and blurred vision",hypertension
"stomach cramps, vomiting and nausea",gastroenteritis
"sneezing, nasal congestion, mild ",common_cold
lower abdominal pain,urinary_tract_infection
dizziness,anemia
"ear pain, hearing difficulty, fever and ear drainage",otitis_media
loss of taste,covid-19
"sleep disturbance, red patches, loss of interest",depression
sleep disturbance,depression
"Complains of chest pain, productive cough",pneumonia
"Patient reports dry skin, itchy skin and red patches for several months",eczema
"wheezing, night cough, shortness of breath",asthma
fatigue and sleep disturbance,depression
"fever, right lower abdominal pain and nausea",appendicitis
"mild sleep disturbance, fatigue, loss of interest, persistent sadness since yesterday",depression
moderate sneezing,common_cold
"hearing difficulty, ear drainage, ear pain, fever",otitis_media
Patient reports stomach cramps,gastroenteritis
shortness of breath and back pain for several months,pneumonia
"shortness of breath, fever, productive cough, chest tightness, shortness of breath, chest pain",pneumonia
"weight loss, persistent sadness, sleep disturbance, loss of interest, fatigue",depression
loss of height and fractures for ,osteoporosis
bone pain,osteoporosis
"moderate sweating, rapid heartbeat since yesterda",anxiety
right lower abdominal pain,appendicitis
"I have severe loss of height, blurred vision, fractures",osteoporosis
"cough, body ache",influenza
"urgency, burning urination, back pain,",urinary_tract_infection
mild right lower abdominal pain,appendicitis
"fever, dry cough, loss of taste, loss of smell, fatigue for 2 days",covid-19
"chest tightness, shortness of breath, night cough",asthma
"nausea, diarrhea",gastroenteritis
"persistent sadness, sleep disturbance, fatigue, loss of interest",depression
"Patient reports chest pain, sweating",heart_disease
"sensitivity to light, severe headache, nausea and",migraine
"fever, fever, cough, sore throat, chills, body ache",influenza
"Patient reports shortness of breath, night cough, wheezing, chest tightness",asthma
"sweating, chest pain, shortness of breath",heart_disease
I have bone pain for several months,osteoporosis
"severe headache, visual aura, sensitivity to light, sweating",migraine
"bone pain, back pain, loss of height",osteoporosis
"productive cough, chest pain, shortness of breath",pneumonia
"rapid heartbeat, sweating, restlessness, trembling",anxiety
"loss of smell, fever, fatigue and loss of taste for a week",covid-19
night cough,asthma
"loss of appetite, fever, nausea and rig",appendicitis
"shortness of breath, chest discomfort, mucus and persistent cough",bronchitis
"runny nose, mild cough, nasal congestion",common_cold
"diarrhea, nausea, stomach cramps, loss of interest, persistent sadness",gastroenteritis
fatigue,depression
fractures,osteoporosis
itchy eyes,allergic_rhinitis
"Complains of stomach cramps, vomiting, fractures, diarrhea",gastroenteritis
"runny nose, nasal congestion",allergic_rhinitis
"dizziness, nosebleed, blurred vision for several months",hypertension
frequent urination for 2 days,urinary_tract_infection
"Complains of fatigue, sore throat, chills",influenza
"ear pain, sneezing, nasal congestion and runny nose",allergic_rhinitis
burning urination for 2 days,urinary_tract_infection
moderate sweating since yesterday,anxiety
"pale skin, shortness of breath, dizziness and fatigue for 2 days",anemia
"lower abdominal pain, burning urination",urinary_tract_infection
"chest discomfort, mucus, shortness of breath",bronchitis
"fever, loss of smell and fatigue",covid-19
shortness of breath,anemia
"vomiting, nausea, diarrhea",gastroenteritis
nausea for several months,appendicitis
"Complains of chest pain, sweating, shortne",heart_disease
sneezing,allergic_rhinitis
persistent cough for a week,bronchitis
"trembling, sweating and restlessness",anxiety
"Patient reports left arm pain, chest pain, sweating",heart_disease
"pale skin, dizziness, shortness of breath",anemia
"Complains of mild sleep disturbance, loss of interest for a week",depression
"left arm pain, fatigue, blurred vision",heart_disease
"left arm pain, shortness of breath, sweating for 2 days",heart_disease
"chest tightness, night cough, wheezing, shortness of breath",asthma
"sensitivity to light, visual aura, nausea and severe headache",migraine
"fatigue, sleep disturbance",depression
"nosebleed, dizziness, headache",hypertension
"Complains of mucus, loss of taste",covid-19
"fatigue, shortness of breath, pale skin, dizziness",anemia
hearing difficulty,otitis_media
"Complains of right lower abdominal pain, loss of appetite, fever, nausea",appendicitis
"itchy eyes, sneezing, runny nose and nasal congestion",allergic_rhinitis
"shortness of breath, chest tightness, severe headache",asthma
left arm pain for several months,heart_disease
"fatigue, back pain",osteoporosis
"persistent cough, shortness of breath, mucus",bronchitis
"severe nosebleed, fever, ear drainage",otitis_media
"chills, loss of appetite, right lower abdominal pain",appendicitis
"loss of height, bone pain",osteoporosis
"shortness of breath, wheezing",asthma
"Complains of severe headache, nau",migraine
"headache, dizziness, blurred vision, nosebleed since yesterday",hypertension
"fatigue, dizziness for several months",anemia
"I have severe blisters, red patches and itchy skin",eczema
"moderate blurred vision, loss of smell, fever, loss of taste, dry cough, fatigue",covid-19
"fatigue, loss of smell and dry cough since yesterday",covid-19
Complains of nausea,migraine
fever,covid-19
moderate blisters,eczema
"shortness of breath, sweating, left arm p",heart_disease
"stomach cramps, nausea and diarrhea",gastroenteritis
"dry cough, fever, fatigue, loss of taste",covid-19
"Complains of runny nose, sleep disturbance, fatigue, mild cough, persistent sadness",depression
"shortness of breath, sweating, left arm pain, chest pain",heart_disease
"fatigue, dry cough, fever, loss of taste, loss of smell for 2 days",covid-19
"fatigue, sweating, left arm pain",heart_disease
"nasal congestion, mild cough, runny nose, sneezing",common_cold
"dry skin, blisters, itchy skin, red patches",eczema
"ear drainage, hearing difficulty, urgency, ear pain",otitis_media
fractures for several months,osteoporosis
"severe productive cough, chest pain, fever, fatigue, shortness of breath",pneumonia
Patient reports sweating,heart_disease
"mild cough, runny nose for 2 days",common_cold
runny nose,allergic_rhinitis
"burning urination, frequent urination, lower abdominal pain, urgency",urinary_tract_infection
urgency,urinary_tract_infection
"stomach cramps, vomiting, diarrhe",gastroenteritis
"chest pain, shortness of breath, productive cough, fever, chest pain",pneumonia
lower abdominal pain,urinary_tract_infection
"red patches, itchy skin, dry skin, shortness of breath, blisters",eczema
"left arm pain, urgency and chest pain",heart_disease
red patches for several months,eczema
"fractures, bone pain, back pain, loss of height for 2 days",osteoporosis
"fever, dry skin, blisters, itchy skin, red patches for a week",eczema
"severe fatigue, fever, sore throat, cough",influenza
"Complains of bone pain, back pain, loss of height and fractures",osteoporosis
Complains of chest pain,heart_disease
"sneezing, persistent sadness, loss of interest",depression
"fractures, headache, back pain",osteoporosis
moderate diarrhea,gastroenteritis
"loss of interest, fatigue and persistent sadness",depression
"I have fever, right lower abdom",appendicitis
"I have blurred vision, frequent urination, increased thirst, fatigue",diabetes
night cough,asthma
"runny nose, sneezing",common_cold
itchy skin and red patches for several months,eczema
"Complains of severe visual aura, sensitivity to light, nausea",migraine
"nasal congestion, sneezing, mild cough",common_cold
mucus,bronchitis
chest pain,heart_disease
"back pain, fractures, bone pain",osteoporosis
"red patches, itchy skin, burning urination and blisters",eczema
"burning urination, fever, frequent urination, urgency and lower abdominal pain",urinary_tract_infection
sleep disturbance,depression
burning urination,urinary_tract_infection
"lower abdominal pain, burning urination, frequent urination",urinary_tract_infection
"Complains of nasal congestion, itc",allergic_rhinitis
"sore throat, fatigue, cough, fever",influenza
"fatigue, weight loss and increased thirst",diabetes
"frequent urination, urgency, burning urinati",urinary_tract_infection
"blurred vision, urgency, increased thirst, fatigue and weight loss",diabetes
"nausea, right lower abdominal pai",appendicitis
dizziness and headache for 2 days,hypertension
"shortness of breath, chest discomfort, persistent cough, bone pain",bronchitis
"fatigue, dry cough, loss of taste, fever, itchy skin and loss of smell",covid-19
dizziness,hypertension
"moderate frequent urination, lower abdominal pain for 2 days",urinary_tract_infection
"headache, dizziness",hypertension
"severe fever, rapid heartbeat, hearing difficulty, ear drainage and trembling",otitis_media
loss of smell and fever,covid-19
"nausea, diarrhea",gastroenteritis
severe headache,migraine
"dry cough, loss of smell, fever, fatigue, loss of taste for several months",covid-19
nasal congestion,osteoporosis
"productive cough, fever, chest pain",pneumonia
burning urination,urinary_tract_infection
"chest pain, left arm pain, shortness of breath for several months",heart_disease
"loss of interest, persistent sadness, sleep disturbance, fatigue and blisters",depression
I have frequent urination and fatigue for several months,hypertension
"frequent urination, increased thirst, fatigue",diabetes
"itchy skin, red patches, dry skin, blisters",eczema
"Complains of restlessness, trembling, rapid heartbeat, sweating",anxiety
"frequent urination, burning urination, urgency for a week",urinary_tract_infection
"diarrhea, nausea, stomach cramps, vomiting for several months",gastroenteritis
"sweating, rapid heartbeat, trembling, restlessness for several months",anxiety
"sweating, restlessness, visual",anxiety
"shortness of breath, blurred vision, fatigue, increased thirst, frequent urination",diabetes
"fever, loss of interest, sleep disturbance, fatigue, persistent sadness, fatigue",depression
"Patient reports severe dizziness, fatigue",anemia
"Patient reports severe headache, visual aura, sensitivity to lig",migraine
"mucus, chest discomfort",bronchitis
"Complains of blurred vision, dizziness",hypertension
"persistent cough, left arm pain, sweating, chest pain for several months",heart_disease
"shortness of breath, chest pain and fever",pneumonia
"sore throat, fever",influenza
"mild fractures, mucus, shortness of breath and chest discomfort for several months",bronchitis
"nasal congestion, runny nose",common_cold
"body ache, sore throat, sweating, cough, chills, fatigue for a week",influenza
mild shortness of breath,anemia
"itchy skin, blisters, dry skin",eczema
"loss of appetite, right lower abdomi",appendicitis
frequent urination and fatigue,diabetes
"persistent sadness, fatigue, loss of interest, ear pain",depression
"I have lower abdominal pain, burning urination, urgency for 2 days",urinary_tract_infection
"chest discomfort, shortness of breath",bronchitis
fever,otitis_media
"chest tightness, night cough for 2 days",asthma
"loss of taste, fever",covid-19
"moderate headache, dizziness, blurred vision for several months",hypertension
"diarrhea, nausea, vomiting, stomach cramps",gastroenteritis
"Complains of loss of height, fractures and back pain",osteoporosis
sleep disturbance,depression
"fever, chest pain, shortness of breath, fever, productive cough",pneumonia
"pale skin, shortness of breath, dizziness and fatigue",anemia
"headache, blurred vision for a week",hypertension
"ear pain, hearing difficulty, ear drainage, fever",otitis_media
"bone pain, back pain, chest discomfort since yesterday",osteoporosis
"fever, cough, sore throat, chills and body ache",influenza
fatigue,depression
moderate sweating,anxiety
dizziness,hypertension
ear pain and fever,otitis_media
"sore throat, chills and cough",influenza
"fever, right lower abdominal pain and nausea",appendicitis
"mucus, shortness of breath, chest discomfort, sore throat, persistent cough since yesterday",bronchitis
"fever, hearing difficulty, ear drainage, visual aura",otitis_media
"night cough, chest tightness, wheezing and shortness of breath for several months",asthma
"moderate sweating, shortness of breath and chest pain",heart_disease
sensitivity to light since yesterday,eczema
"itchy skin, red patches",eczema
"Complains of cough, fatigue",influenza
"frequent urination, lower abdominal pain, urgency, burning urination for a week",urinary_tract_infection
I have trembling,anxiety
"vomiting, nausea, diarrhea for several months",gastroenteritis
"diarrhea, vomiting, stomach cramps and naus",gastroenteritis
"back pain, increased thirst sin",osteoporosis
"loss of smell, fatigue and loss of",covid-19
"hearing difficulty, sore throat, ear drainage, fever",otitis_media
"nausea, fever",appendicitis
"nausea, sensitivity to light, sneezing, severe headache and visual aura",migraine
"persistent sadness, sleep disturbance, loss of interest, fatigue for a week",depression
"weight loss, fatigue, frequent urination, blurred vision, increased thirst",diabetes
"rapid heartbeat, trembling, sweating and restlessness",anxiety
"severe night cough, chest tightness",asthma
"weight loss, blurred vision, increased thirst",diabetes
"severe headache, nausea",migraine
"fatigue, fever, loss of smell, loss of taste, pale skin",covid-19
"Patient reports dry cough, loss of sme",covid-19
itchy eyes since yesterday,allergic_rhinitis
"left arm pain, chest pain, sweating and shortness of breath",heart_disease
"weight loss, increased thirst for several months",diabetes
mild back pain and fractures,osteoporosis
"weight loss, frequent urination, increased thirst",diabetes
mucus,bronchitis
"red patches, blisters, shortness of breath, ",pneumonia
"fractures, back pain, bone pain",osteoporosis
moderate left arm pain,heart_disease
"chest pain, fever, itchy eyes, sneezing, shortness of breath and productive cough",pneumonia
I have shortness of breath,bronchitis
chest discomfort,bronchitis
"red patches, blisters",eczema
shortness of breath and chest tightness fo,asthma
sweating and chest pain,heart_disease
itchy eyes and nasal congestion for several months,allergic_rhinitis
trembling and sweating,anxiety
I have moderate stomach cramps and vomiting,gastroenteritis
"ear pain, fatigue, ear drainage, frequent urination, increased thirst, weight loss for a week",diabetes
"nosebleed, blurred vision, headache",hypertension
right lower abdominal pain for 2 days,appendicitis
burning urination,urinary_tract_infection
lower abdominal pain and urgency for 2 days,urinary_tract_infection
hearing difficulty,covid-19
"mild visual aura, severe headache, sensitivity to light",migraine
"runny nose, nasal congestion, itchy eyes for 2 days",allergic_rhinitis
"shortness of breath, fatigue, pale skin",anemia
"sweating, left arm pain and increased thirst",heart_disease
"sneezing, itchy eyes, runny nose",allergic_rhinitis
"wheezing, shortness of breath, chest tightness for a week",asthma
"fatigue, fever, loss of smell, bone pain",covid-19
"sensitivity to light, severe headache, right lower abdominal pain, visual aura, nausea, loss of appetite",migraine
"urgency, burning urination, lower abdominal pain, diarrhea",urinary_tract_infection
"fatigue, loss of appetite, nausea and right lower abdominal pain",appendicitis
loss of height and ear pain,otitis_media
"wheezing, shortness of breath, night cough, chest tightness",asthma
ear drainage,gastroenteritis
"lower abdominal pain, shortness of breath, wheezing, night cough since yesterday",asthma
"fatigue, pale skin",anemia
"rapid heartbeat, sweating, restlessness and trembling since yesterday",anxiety
"fever, nausea, right lower abdominal pain,",appendicitis
"dizziness, blurred vision, headache, nosebleed",hypertension
"wheezing, shortness of breath, fatigue, chest tightness",asthma
ear drainage,otitis_media
"blisters, hearing difficulty, dry skin, fever and ear drainage",otitis_media
"nasal congestion, mild cough",common_cold
"Patient reports chest discomfort, shortness of breath",bronchitis
mild dizziness,hypertension
Complains of runny nose,allergic_rhinitis
"fatigue, cough and chills",influenza
"Complains of shortness of breath, fever",pneumonia
"restlessness, sweating, trembling and rapid heartbeat",anxiety
"vomiting, stomach cramps, diarrhea, increased thirst, weight loss",gastroenteritis
"loss of appetite, right lower abdominal pain, nausea, fever",appendicitis
"moderate chest discomfort, shortness of breath",bronchitis
"fatigue, increased thirst, blurred vision for 2 days",diabetes
"fever, cough, chills",influenza
"Complains of nausea, persistent cough, vomiting, diarrhea",gastroenteritis
"dizziness, shortness of breath, pale skin",anemia
"nausea, diarrhea, stomach cramps, blurred vision, vomiting, increased thirst for several months",gastroenteritis
rapid heartbeat and restlessness for 2 days,anxiety
"chest pain, shortness of breath",heart_disease
"Complains of visual aura, sensitivity to light, severe headache",migraine
"red patches, itchy skin, blisters for 2 days",eczema
"fatigue, sore throat, chills, fever, body ache",influenza
"stomach cramps, vomiting, nausea",gastroenteritis
"fever, ear pain, hearing difficulty, ear drainage, fever, shortness of breath",otitis_media
"nausea, diarrhea, stomach cramps since yesterday",gastroenteritis
"shortness of breath, fatigue, dizziness and pale skin",anemia
"loss of interest, sleep disturban",depression
"sensitivity to light, fatigue, severe headache, visual aura",migraine
